Testis,Breast - Mammary Tissue
Adipose - Visceral (Omentum),Uterus
Brain - Hypothalamus,Brain - Substantia nigra
Brain - Cerebellum,Artery - Aorta
Skin - Not Sun Exposed (Suprapubic),Brain - Hippocampus
Skin - Sun Exposed (Lower leg),Pituitary
Brain - Hypothalamus,Brain - Cerebellum
Spleen,Esophagus - Mucosa
Brain - Putamen (basal ganglia),Brain - Substantia nigra
Brain - Cerebellum,Muscle - Skeletal
Testis,Artery - Coronary
Brain - Hippocampus,Brain - Anterior cingulate cortex (BA24)
Breast - Mammary Tissue,Pituitary
Esophagus - Mucosa,Brain - Frontal Cortex (BA9)
Brain - Anterior cingulate cortex (BA24),Skin - Sun Exposed (Lower leg)
Cells - Transformed fibroblasts,Pituitary
Heart - Left Ventricle,Prostate
Stomach,Adipose - Visceral (Omentum)
Ovary,Whole Blood
Cells - EBV-transformed lymphocytes,Breast - Mammary Tissue
Whole Blood,Stomach
Heart - Left Ventricle,Brain - Anterior cingulate cortex (BA24)
Heart - Atrial Appendage,Brain - Cerebellar Hemisphere
Testis,Adipose - Subcutaneous
Lung,Brain - Nucleus accumbens (basal ganglia)
Whole Blood,Cells - Transformed fibroblasts
Skin - Sun Exposed (Lower leg),Adipose - Subcutaneous
Testis,Brain - Nucleus accumbens (basal ganglia)
Muscle - Skeletal,Lung
Brain - Putamen (basal ganglia),Adipose - Visceral (Omentum)
Esophagus - Muscularis,Adipose - Visceral (Omentum)
Ovary,Pituitary
Brain - Frontal Cortex (BA9),Esophagus - Mucosa
Uterus,Colon - Transverse
Vagina,Brain - Caudate (basal ganglia)
Brain - Hypothalamus,Artery - Tibial
Skin - Sun Exposed (Lower leg),Colon - Sigmoid
Brain - Putamen (basal ganglia),Brain - Hypothalamus
Vagina,Heart - Atrial Appendage
Heart - Left Ventricle,Skin - Sun Exposed (Lower leg)
Liver,Esophagus - Muscularis
Prostate,Nerve - Tibial
Heart - Atrial Appendage,Heart - Left Ventricle
Whole Blood,Brain - Cerebellar Hemisphere
Artery - Aorta,Prostate
Spleen,Whole Blood
Heart - Left Ventricle,Spleen
Brain - Amygdala,Nerve - Tibial
Esophagus - Mucosa,Esophagus - Muscularis
Brain - Spinal cord (cervical c-1),Liver
Breast - Mammary Tissue,Prostate
Artery - Tibial,Esophagus - Gastroesophageal Junction
Brain - Amygdala,Brain - Cerebellar Hemisphere
Artery - Aorta,Minor Salivary Gland
Brain - Caudate (basal ganglia),Brain - Hypothalamus
Artery - Aorta,Lung
Whole Blood,Nerve - Tibial
Uterus,Breast - Mammary Tissue
Artery - Coronary,Esophagus - Gastroesophageal Junction
Small Intestine - Terminal Ileum,Artery - Coronary
Breast - Mammary Tissue,Nerve - Tibial
Heart - Left Ventricle,Brain - Spinal cord (cervical c-1)
Skin - Not Sun Exposed (Suprapubic),Liver
Brain - Frontal Cortex (BA9),Brain - Putamen (basal ganglia)
Adrenal Gland,Ovary
Pancreas,Heart - Left Ventricle
Spleen,Esophagus - Gastroesophageal Junction
Heart - Left Ventricle,Brain - Caudate (basal ganglia)
Heart - Left Ventricle,Colon - Sigmoid
Brain - Nucleus accumbens (basal ganglia),Brain - Spinal cord (cervical c-1)
Brain - Caudate (basal ganglia),Brain - Cortex
Heart - Atrial Appendage,Brain - Caudate (basal ganglia)
Muscle - Skeletal,Brain - Nucleus accumbens (basal ganglia)
Brain - Hippocampus,Brain - Frontal Cortex (BA9)
Skin - Sun Exposed (Lower leg),Esophagus - Muscularis
Adipose - Visceral (Omentum),Muscle - Skeletal
Heart - Left Ventricle,Cells - Transformed fibroblasts
Muscle - Skeletal,Ovary
Colon - Sigmoid,Skin - Sun Exposed (Lower leg)
Brain - Nucleus accumbens (basal ganglia),Pituitary
Muscle - Skeletal,Pancreas
Nerve - Tibial,Pituitary
Colon - Sigmoid,Prostate
Breast - Mammary Tissue,Brain - Caudate (basal ganglia)
